step,train/loss,train/grad_norm,train/learning_rate,train/num_tokens,train/completions/mean_length,train/completions/min_length,train/completions/max_length,train/completions/clipped_ratio,train/completions/mean_terminated_length,train/completions/min_terminated_length,train/completions/max_terminated_length,train/rewards/reward_fn/mean,train/rewards/reward_fn/std,train/reward,train/reward_std,train/frac_reward_zero_std,train/entropy,train/clip_ratio/low_mean,train/clip_ratio/low_min,train/clip_ratio/high_mean,train/clip_ratio/high_max,train/clip_ratio/region_mean,train/epoch
10,-0.033399999141693115,0.09905990213155746,4.4999998749517545e-07,7765.0,71.9749984741211,1.0,211.0,0.25,9.685476303100586,1.0,52.599998474121094,3.929539203643799,0.773482084274292,3.929539203643799,0.28154540061950684,0.550000011920929,0.6178575754165649,0.0,0.0,0.0,0.0,0.0,0.0020000000949949026
20,0.07339999824762344,0.14233335852622986,9.500000146545062e-07,19587.0,114.5,4.199999809265137,241.60000610351562,0.3499999940395355,35.34333419799805,4.199999809265137,93.19999694824219,3.6167044639587402,1.0502787828445435,3.6167044639587402,0.5580510497093201,0.4000000059604645,0.5876400470733643,0.0,0.0,0.0,0.0,0.0,0.004000000189989805
30,0.265500009059906,0.07532315701246262,1.4500000133921276e-06,28003.0,37.75,1.0,167.60000610351562,0.125,6.708333492279053,1.0,33.20000076293945,3.9312775135040283,0.6263614892959595,3.9312775135040283,0.23775294423103333,0.6499999761581421,0.484214723110199,0.0,0.0,0.0,0.0,0.0,0.006000000052154064
40,-0.07840000092983246,0.11322842538356781,1.950000068973168e-06,36847.0,63.5,1.0,161.0,0.20000000298023224,16.86214256286621,1.0,63.79999923706055,3.883413791656494,0.6897354125976562,3.883413791656494,0.40863725543022156,0.5,0.8266409635543823,0.0,0.0,0.0,0.0,0.0,0.00800000037997961
50,0.016599999740719795,0.12204328179359436,2.4500000108673703e-06,43504.0,56.67499923706055,1.0,159.60000610351562,0.17499999701976776,15.205000877380371,1.0,61.400001525878906,3.4980766773223877,0.8239313364028931,3.4980766773223877,0.3404322862625122,0.5,0.523787260055542,0.0,0.0,0.0,0.0,0.0,0.009999999776482582
60,0.2151000052690506,0.9399613738059998,2.9499999527615728e-06,50545.0,34.775001525878906,1.0,132.39999389648438,0.07500000298023224,18.016666412353516,1.0,85.19999694824219,3.981156349182129,0.6005539894104004,3.981156349182129,0.11528855562210083,0.6000000238418579,0.4465010166168213,0.0,0.0,0.0,0.0,0.0,0.012000000104308128
70,0.2565000057220459,0.2426542192697525,3.4499998946557753e-06,56494.0,34.07500076293945,1.0,205.1999969482422,0.07500000298023224,15.532143592834473,1.0,81.4000015258789,4.056663990020752,0.469643771648407,4.056663990020752,0.15763188898563385,0.550000011920929,0.7575548887252808,0.0,0.0,0.0,0.0,0.0,0.014000000432133675
80,0.06689999997615814,0.6437008380889893,3.950000063923653e-06,63802.0,30.75,1.0,121.19999694824219,0.10000000149011612,5.4083333015441895,1.0,21.799999237060547,3.8039658069610596,0.42616960406303406,3.8039658069610596,0.1730622798204422,0.44999998807907104,0.8069323301315308,0.0,0.0,0.0,0.0,0.0,0.01600000075995922
90,-0.03480000048875809,0.09283996373414993,4.44999977844418e-06,73141.0,66.7750015258789,1.0,159.39999389648438,0.20000000298023224,15.925000190734863,1.0,58.599998474121094,3.642853021621704,0.7480019927024841,3.642853021621704,0.15975865721702576,0.44999998807907104,0.88841712474823,0.0,0.0,0.0,0.0,0.0,0.017999999225139618
100,-0.07720000296831131,0.07145070284605026,4.949999947712058e-06,84160.0,81.57499694824219,1.0,217.8000030517578,0.2750000059604645,16.56999969482422,1.0,76.80000305175781,3.551215171813965,0.9963745474815369,3.551215171813965,0.41864416003227234,0.5,0.873670756816864,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
110,0.08320000022649765,0.0,4.999995326215867e-06,91449.0,28.725000381469727,1.0,120.19999694824219,0.02500000037252903,23.546428680419922,1.0,113.80000305175781,3.5405755043029785,1.1774755716323853,3.5405755043029785,0.42574360966682434,0.75,0.8112310767173767,0.0,0.0,0.0,0.0,0.0,0.02199999988079071
120,-0.1145000010728836,0.10202138870954514,4.999979864805937e-06,101791.0,60.70000076293945,1.0,205.0,0.22499999403953552,3.914285659790039,1.0,19.600000381469727,3.5422399044036865,0.9914575815200806,3.5422399044036865,0.29766008257865906,0.699999988079071,0.601086437702179,0.0,0.0,0.0,0.0,0.0,0.024000000208616257
130,0.27480000257492065,0.1465502679347992,4.999953489459585e-06,107378.0,34.525001525878906,1.0,154.0,0.125,3.0799999237060547,1.0,13.399999618530273,3.845998525619507,0.6471163630485535,3.845998525619507,0.11479196697473526,0.800000011920929,0.28122979402542114,0.0,0.0,0.0,0.0,0.0,0.026000000536441803
140,0.16200000047683716,0.24722760915756226,4.999915290682111e-06,117724.0,32.95000076293945,1.399999976158142,177.0,0.07500000298023224,14.035714149475098,1.399999976158142,80.4000015258789,3.8564956188201904,0.7056503295898438,3.8564956188201904,0.3134048283100128,0.6499999761581421,0.5502530336380005,0.0,0.0,0.0,0.0,0.0,0.02800000086426735
150,0.10440000146627426,0.0,4.999866632715566e-06,125606.0,32.400001525878906,1.0,82.80000305175781,0.10000000149011612,7.025000095367432,1.0,32.79999923706055,3.9443001747131348,0.5366520881652832,3.9443001747131348,0.09117718786001205,0.75,0.9809539318084717,0.0,0.0,0.0,0.0,0.0,0.029999999329447746
