step,train/eps,train/objective/kl,train/objective/entropy,train/objective/non_score_reward,train/objective/rlhf_reward,train/objective/scores,train/policy/approxkl_avg,train/policy/clipfrac_avg,train/loss/policy_avg,train/loss/value_avg,train/val/clipfrac_avg,train/policy/entropy_avg,train/val/ratio,train/val/ratio_var,train/val/num_eos_tokens,train/lr,train/episode,train/epoch
1,1.0,7.4803829193115234e-06,-9.411288261413574,-3.7401906638478977e-07,3.2995705604553223,3.2995710372924805,6.619172836508369e-07,nan,nan,3.5247743129730225,0.0,1.1012389659881592,0.999942421913147,2.3931068682259138e-08,26.0,4.999999873689376e-06,16.0,0.0017777777975425124
2,1.0,0.0002187490463256836,0.3321099281311035,-1.0937454135273583e-05,3.7820773124694824,3.782088279724121,1.4195299513630744e-07,nan,nan,7.28052282333374,0.0,0.9662269949913025,1.00002121925354,3.087275990409921e-09,27.0,4.999995780963218e-06,32.0,0.003555555595085025
3,1.0,-0.0014986395835876465,-11.209135055541992,7.493197335861623e-05,3.636857271194458,3.63678240776062,2.830770426953677e-07,0.0,-0.18726009130477905,6.823583126068115,0.0,0.8498430252075195,1.000018835067749,1.602844967862893e-08,24.0,4.999982593290042e-06,48.0,0.005333333276212215
4,1.0,-0.0026228129863739014,-2.214519500732422,0.00013114065222907811,3.365449905395508,3.365318775177002,2.159198686513264e-07,0.0,-0.10520532727241516,3.9237217903137207,0.0,0.9625685214996338,0.999984860420227,3.6678120540756254e-09,22.0,4.9999612201645505e-06,64.0,0.00711111119017005
5,1.0,0.0018719732761383057,-2.2069356441497803,-9.359865362057462e-05,3.950277090072632,3.9503707885742188,1.1145897360620438e-07,0.0,0.015321520157158375,7.6069231033325195,0.0,0.8749679327011108,0.9999891519546509,1.4264039949196672e-09,36.0,4.999930752092041e-06,80.0,0.008888889104127884
6,1.0,-0.0002421736717224121,-28.093782424926758,1.2108688679290935e-05,3.8664844036102295,3.8664722442626953,2.4814802657147084e-08,nan,nan,6.301135063171387,0.0,1.0073213577270508,1.000001072883606,8.810360219158042e-10,25.0,4.999891643819865e-06,96.0,0.01066666655242443
7,1.0,-0.003548145294189453,16.415197372436523,0.0001774072734406218,3.5124874114990234,3.512310028076172,1.648394345465931e-07,0.0,-0.025750447064638138,4.131943702697754,0.0,1.2082140445709229,0.9999865889549255,1.321757037153759e-09,31.0,4.999844350095373e-06,112.0,0.012444444000720978
8,1.0,0.0062059760093688965,-1.8262333869934082,-0.000310298812109977,3.6126224994659424,3.6129326820373535,2.021073264302231e-08,0.0,-0.11713391542434692,4.746471405029297,0.0,1.0425941944122314,1.0000077486038208,2.0366665298698905e-10,29.0,4.999787961423863e-06,128.0,0.0142222223803401
9,1.0,-0.0013954639434814453,5.788079261779785,6.977319571888074e-05,3.1775896549224854,3.1775197982788086,5.0390450923032404e-08,0.0,-0.2014714628458023,4.872976303100586,0.0,1.0953658819198608,1.0000030994415283,1.0543856898692638e-09,18.0,4.999722932552686e-06,144.0,0.01600000075995922
10,1.0,-0.007580310106277466,-6.202122688293457,0.0003790155169554055,3.7956933975219727,3.795314311981201,4.6854225388415216e-08,nan,nan,5.647159576416016,0.0,0.8864155411720276,0.9999886751174927,2.8015467723463416e-10,20.0,4.999649263481842e-06,160.0,0.017777778208255768
11,1.0,0.004830807447433472,-3.2776389122009277,-0.0002415403869235888,3.8833189010620117,3.8835604190826416,4.1248071624977456e-08,0.0,-0.3312685191631317,6.945856094360352,0.0,1.1043055057525635,1.000007152557373,1.4741572407217518e-09,32.0,4.999566954211332e-06,176.0,0.019555555656552315
12,1.0,-0.004297614097595215,-31.997913360595703,0.00021488071070052683,3.981011152267456,3.9807963371276855,3.866149000941732e-08,nan,nan,11.776860237121582,0.0,0.9545559883117676,0.9999868869781494,5.897858867953687e-10,25.0,4.999476004741155e-06,192.0,0.02133333310484886
13,1.0,-0.0020819008350372314,-6.139398574829102,0.000104095037386287,3.619105577468872,3.6190013885498047,7.138320512467544e-08,0.0,-0.37174350023269653,6.102459907531738,0.0,1.0288982391357422,1.0000114440917969,1.4524023095319194e-09,22.0,4.9993764150713105e-06,208.0,0.02311111055314541
14,1.0,-0.006396651268005371,-26.857206344604492,0.00031983255757950246,3.7211711406707764,3.720851421356201,2.6603272473835204e-08,nan,nan,7.036386013031006,0.0,0.9121201038360596,1.0000025033950806,1.0957275087264406e-09,33.0,4.9992681852017995e-06,224.0,0.024888888001441956
15,1.0,-0.005240976810455322,-26.15692901611328,0.00026204882306046784,3.6979076862335205,3.697645664215088,3.810241082646826e-07,nan,nan,8.249283790588379,0.0,0.8856782913208008,1.0000007152557373,4.795926766831826e-09,24.0,4.999151315132622e-06,240.0,0.02666666731238365
16,1.0,-0.003287792205810547,0.17496752738952637,0.00016438959573861212,3.473254919052124,3.473090648651123,1.534611016040799e-08,nan,nan,5.494874000549316,0.0,0.9644336700439453,1.0000019073486328,2.0009403856047214e-10,30.0,4.999025804863777e-06,256.0,0.0284444447606802
17,1.0,0.004937350749969482,-20.42218017578125,-0.0002468675666023046,3.6475043296813965,3.6477510929107666,1.298674145999712e-08,0.0,-0.12976573407649994,6.340841293334961,0.0,0.6793395280838013,1.0000139474868774,3.5217020966094026e-10,32.0,4.9988916543952655e-06,272.0,0.030222222208976746
